기준_년분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액
20254,골목상권,화곡2동주민센터,호프-간이주점,180702776,4656,124402885,56299891,124931646,54763795,163543,4148935,22179794,44447024,65140236,43615908
20254,골목상권,문성초등학교,섬유제품,43337474,1198,32056619,11280855,11665173,31672301,0,0,3255397,926883,20820977,18334217
20254,발달상권,방배동카페골목,육류판매,121871263,3336,80181526,41689737,48669073,61582803,0,3619108,10999206,35967169,34574450,25091944
20254,발달상권,상수역(홍대),화장품,88283048,110,70472520,17810528,88283048,0,0,0,0,0,88283048,0
20254,발달상권,경복아파트교차로,양식음식점,37483952,2227,37483952,0,11327248,7334215,0,3635380,9214413,2687800,660953,2462916
20254,골목상권,한강로동땡땡거리(은행나무길),양식음식점,607908324,9982,381599469,226308855,171386077,323424878,999201,173313422,212326418,49715148,36100465,22356303
20254,발달상권,명동역(명동재미로),화초,178728094,3596,155272074,23456020,51333760,79121191,489208,11645193,50067886,21852928,15438564,30961173
20254,발달상권,구로구청,화장품,96582031,715,81601854,14980177,24188482,72393549,0,12549386,34632712,4421587,32997218,11981128
20254,골목상권,독산동정훈단지,노래방,60904740,638,28929975,31974765,52371121,6164101,46719,1665498,6649256,7032163,16170961,26970626
20254,골목상권,효창공원앞역 5번,커피-음료,31425275,3368,18526393,12898882,7083430,20550584,110854,13016251,10355485,1320382,1782206,1048834
20254,발달상권,명동역(명동재미로),문구,117614333,361,117614333,0,190102,344084,0,19010,106457,351689,57031,0
20254,골목상권,효창공원앞역 5번,철물점,1217865395,3344,1114035691,103829704,156875537,386588403,0,0,136324960,137758693,17882795,251497493
20254,발달상권,신림역(신림),네일숍,55842328,691,39346615,16495713,8075304,47767024,0,8061962,26009475,3899603,15164957,2706331
20254,골목상권,개봉1동주민센터,화초,107876620,3324,91090132,16786488,21643492,30420184,0,1278159,0,4857004,16019592,29908920
20254,발달상권,교대입구교차로,미용실,114920841,2434,80687653,34233188,41848909,71268635,215281,1142307,19039339,11391860,21957255,59371505
20254,발달상권,사가정역,피부관리실,100369949,1136,60655707,39714242,60721208,39648741,0,19967105,10672213,33527534,32014658,4188439
20254,발달상권,화곡역,안경,469745941,6041,324139109,145606832,174840534,294905407,4687692,85849842,107044543,99247184,95896276,77020404
20254,골목상권,방화역 1번,편의점,474063372,67558,336476061,137587311,342210243,131853129,4812762,45449444,107730653,122848140,116128197,77094176
20254,골목상권,보인중학교,의약품,23619038,230,23438236,180802,1198649,22232633,0,0,1547760,675450,1247676,19960396
20254,발달상권,강변역(테크노마트),의약품,843207507,69580,594840008,248367499,445127862,398079645,6344595,118161746,115873739,144314523,215547720,242965184
20254,발달상권,서대문역,피부관리실,17743491,27,17743491,0,4435873,13307618,0,0,8871745,4435873,4435873,0
20254,골목상권,효창공원앞역 2번,스포츠 강습,72474717,181,63953543,8521174,3959276,68515441,0,33765043,31913972,1072066,5723636,0
20254,전통시장,남성사계시장(남성시장),중식음식점,139368249,8063,92234070,47134179,76429758,60983880,4020154,28806353,25312401,24424864,29005690,25844176
20254,발달상권,이태원(이태원역),호프-간이주점,15467834496,408822,6900058477,8567776019,10695979445,4239026207,84643422,4744595881,5713189692,2312986390,1271863299,807726964
20254,골목상권,구로보건소,컴퓨터및주변장치판매,568036334,216,568036334,0,535761542,32274792,0,0,0,32274792,535761542,0
20254,골목상권,"신림역 5번(신림동주민센터, 신림동별빛거리)",치킨전문점,28807469,1451,21518265,7289204,20437188,7924883,668674,5215526,10801721,3358527,5592957,2724666
20254,발달상권,건대입구역(건대),가전제품,68773639,180,8913261,59860378,50510487,18263152,0,0,24165176,0,15447645,29160818
20254,골목상권,효창공원앞역 2번,제과점,436416482,25047,280229322,156187160,116331160,274338239,1776210,61038859,118258371,93493054,76881485,39221421
20254,골목상권,"신림역 5번(신림동주민센터, 신림동별빛거리)",PC방,96866489,21748,68484451,28382038,85036395,11830094,0,54440376,38977791,2155202,352669,940451
20254,전통시장,목동깨비시장(목3동시장),노래방,147184965,4066,101620209,45564756,117552780,16562550,174308,42630562,26616418,10469034,22350939,31874069
