"동별(1)",동별(2),동별(3),2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",중랑구,상봉2동,14039,22467,10481,11986,21916,10264,11652,551,217,334
"합계",중랑구,중화1동,8757,18139,8895,9244,17838,8785,9053,301,110,191
"합계",중랑구,중화2동,14392,26297,13250,13047,25570,12913,12657,727,337,390
"합계",중랑구,묵1동,14903,33118,15692,17426,32873,15589,17284,245,103,142
"합계",중랑구,묵2동,9173,17843,8634,9209,17489,8499,8990,354,135,219
"합계",중랑구,망우본동,18838,38508,18843,19665,37934,18606,19328,574,237,337
"합계",중랑구,망우3동,8266,15730,7814,7916,15173,7586,7587,557,228,329
"합계",중랑구,신내1동,14751,36775,17617,19158,36578,17539,19039,197,78,119
"합계",중랑구,신내2동,8833,18984,8896,10088,18883,8870,10013,101,26,75
"합계",성북구,소계,199650,435815,206307,229508,421289,200918,220371,14526,5389,9137
"합계",성북구,성북동,8040,16127,7404,8723,15524,7155,8369,603,249,354
"합계",성북구,삼선동,11441,22246,10320,11926,21504,10091,11413,742,229,513
"합계",성북구,동선동,9920,16132,6177,9955,14882,5904,8978,1250,273,977
"합계",성북구,돈암1동,5991,13722,6344,7378,13633,6310,7323,89,34,55
"합계",성북구,돈암2동,8513,22886,10796,12090,22764,10747,12017,122,49,73
"합계",성북구,안암동,10506,17957,8574,9383,15585,7809,7776,2372,765,1607
"합계",성북구,보문동,8052,16246,7722,8524,15657,7484,8173,589,238,351
"합계",성북구,정릉1동,7343,17680,8420,9260,17419,8317,9102,261,103,158
"합계",성북구,정릉2동,9508,21761,10338,11423,21418,10210,11208,343,128,215
"합계",성북구,정릉3동,7949,15483,7518,7965,13814,6775,7039,1669,743,926
"합계",성북구,정릉4동,10762,23949,11210,12739,23379,11071,12308,570,139,431
"합계",성북구,길음1동,12803,35486,16785,18701,35330,16731,18599,156,54,102
