리뷰내용,추천수
BTS팬이라면 루웨마루거리를 지나칠수없죵~♡ 가족 모두 좋아하는 BTS 지민이가 다녀간 루웨마루거리 포토존에서 할머니와 딸아이의 인증샷~??,3
지민이 덕분에 제주도에서 즐거운 여행을 할수있었어요.??유학생인데 온라인 수업기간을 이용해서 갔어요.여행 첫 날에 누웨마루 거리에 갔을때는'크리스마스가 끝나서 없어졌다'라고 했는데?? 여행마지막 날 다시 찾아보면 지민이 포토존이 있고 기뻤어요??행복한 포토존을 다시 만들어 줘셔서 감사합니다 . 다시 가고싶어요??,3
,3
#GREEN#FUN#재미#고양이공원#김녕미로공원,3
"#누웨마루 #보라해차없는거리고, 음식점들도 많다보나 가끔 도심의 밤이 생각날 때 나들이하는 곳이에요. 제주의 자연에 살다가 가끔 도시인이 될 수 있는 곳!주차는 신제주공영주차장, 30분 무료, 60분 2천원 정도이니 안전하게 공영주차장에 주차하시면 바로 누웨마루거리를 만날 수 있어요. ",3
누웨마루 거리에 있는 큰 아트샵에 친구 선물 사러 갔다가 방탄 지민이 다녀간 곳에서 인증샷 찍었어요~방탄팬이라 너무 반가운 곳이였어요~! 아직 크리스마스 장식도 남아있어 더 좋았어요~ 맛있는 밥도 먹고 차도 마셨답니다~,3
#사라오름 #한라산등반 #성판악코스  여름의 문턱에서 지난 겨울을 회상하는 사진입니다. 몇 년만의 산행이라 너무 힘들었는데 오늘은 오늘만 찍을 수 있다 라는 생각으로 열심히 올랐던 기억이 있습니다.,3
지민에 따라서 여기를 구경하였어요... 여기에서 맛있는 점심을 먹고 재미있게 놀았어요. ㅎㅎ,3
넘 예뻐요 사려니숲길 1년에 한번만 갈수 있는 물찻오름 다녀왔어요 예뻐요~! ??붉은오름 입구에 주차하고 다녀왔는데 주차도 편하고 너무 좋았어요!,3
지인들과 방문 했었는데 너무너무 즐겁게 보냈어요~ 중문 쪽으로 일정을 많이 잡고 갔는데 여기서 노느라 시간 다 보냄ㅋㅋㅋ 핵존잼?? VR도 신세계~!!,3
즐거운 가족여행에 온 가족이 좋아하는  지민투어가 더해져 또 다른 제주의 모습을 발견할 수 있어 너무 즐겁고 새로웠습니다,3
이번 여행 셀렘 포인트는 지민님이 가본 누웨마루거리를 가보는 거였어요. 가는 동안도 어찌나 두근두근하던지...우리 지민님 덕분에 갈치조림 맛집도 가고 간식거리도 사먹고 여기저기 구경도 많이 했네요. 제주도를 사랑하는 지민님의 발자취를 따라간 여행... 아들딸 아미들과 기념촬영도 하고 너무 즐거운 추억을 남기게 해줘서 고마워요~   역시 제주도와 지민은 사랑입니다? ??  ,3
#고등어조림 #돼지고기볶음 #삼보식당 #맛집 #제주도,3
#마노르블랑,3
#김녕맛집#로컬크랩#살아있는랍스타#크랩#푸짐한해산물#치즈쉬림프,3
누웨마루거리 근처에 숙박잡고 저녁에 갔다왔어요~공영주차장이 있어서 주차가 수월했고 예쁜 포토존까지 거리가 멀지 않아서 좋았어요^^ 맛난 흑돼지오겹도 먹고 재미있게 즐기고 왔어요,3
양귀비 꽃의 강렬한 색에 눈이 부셨던 장소입니다.,3
#사려니숲 #사려니숲길 #피톤치드슬슬 산책하며 좋은 공기 마셔 너무 좋았어요제주도 갈 사람에게 추천해주고 싶은 곳입니다올해가 가기전 제주도 또 가고싶어요 ,3
올레코스를 완주 하다보니 지인들로부터 가이드 해줄것을 청탁 받을때가 종종 있다 그냥 호텔이나 시내만 들렀다 갈때는 제주의 참 모습을 발견하지 못했다 #물영아리  #저푸른초원위에,3
사진쟁이로 불리길 좋아했다는 김영갑님이 가장 좋아하셨다는 오름~~올레길 마치고 이젠 오름투어 시작 최초의 오름  도대체 제주는 안 아름다운 곳이 어디야? #오름의 왕  #김영갑,3
올레 전 코스를 젊지 않은 나이로 완주를 해서 지인들의 가이드로  비공식적인 활동을 하고 있음 #제주  #용머리해안,3
지민이가 왔다갔다고해서 저도 후딱 다녀왔지요~ 근처 고기국수 맛집이 있길래 갔는데 진짜 대박 맛집이었어요 ㅠㅠ 제주도 또 가고싶네용,3
지민이덕에 예쁜 포토존을 알았어요! 제주도민인데 항상 가던 곳만 가고 코로나다보니 동네에만 잠시 휴식을 취하는 편이었는데 지민이가 제주도에 예쁜 곳들을 가고 특히 누웨마루거리를 가서 반가워서 와봤어요! 누웨마루거리에 예쁜 포토존이 있는지도 모른채 지나갈 뻔 했네요! 사진 찍으면서 예쁜 추억을 쌓을 수 있어서 좋았어요?? 저희 찍으면서 아저씨분들도 방탄소년단 알아보고 사진 찍는 모습을 보며 저도 너무 기분이 좋더라구요! ^♡^ 이렇게 선한 영향력으로 제주도에 활력을 준 지민아 고마워용!!! 제주도 많이 놀러오시고 제주도 예쁜 풍경 맛있는 음식 모두 잘 즐기다 가셨으면 좋겠어요 :) ,3
"누웨마루 거리를 구경하면서 지나가는 길에 방탄 지민 포토존이 있더라고요~! 친구랑 함께 찰칵했어요!! 많이 추워서 이쁘게 찍으려고 죽을 뻔했지만 ㅎㅎㅎ,, 이쁜 사진, 이쁜 추억 남기고 갑니당?? 이런 이벤트까지 해서 재미도 굿 굿?? 예전과는 거리가 너무나도 다르게 변했어요! 깨끗해지고 포토존이 생긴 기분이랄까요 ㅎㅎ 겨울말고 따뜻할 때도 이런 이벤트와 포토존이 또 생긴다면 더 좋을 것 같아요! 사진 더 많이 찍고 추억 남길듯이요~~^^",3
재작년 까지만 해도 서귀포 자연 휴양림은  기간 제한 없이 숙박이 가능했다 그래서 투병중인 딸을 데리고 좋은 공기 마시면 제주를 맘껏 탐닉 했는데 작년인지 올해인지 부터 30박4일로 한정 우리 처럼 한달살이 가는 사람은 숙소 옮기느라 정신이 없네 하지만 많은 사람들이 두루 이용 하고자 하는 취지에 할 말은 없네요 #휴양림  #휴식  #최대의 경쟁,3
수없는 제주 방문을 했지만  숙소를 바로 앞에 두고 타이어가 빵구가 난게 아니고 아예 찢어져 버렸다  서로 내 관할이 아니라고 미루는 사이 밤은 깊어지고 마음을 가다듬기 위해 바로 옆에 목장사진을  찍어봄 #제주  #오렌지렌트카  #자동차타이어,3
조용하고 깨끗해서 다시 찾고 싶은 숙소입니다,3
"체험,VR, 콘서트 시간가는줄 몰랏어요^^",3
"서귀포 게스트하우스 나날에서 천지연폭포와 새연교, 새섬이 가깝고 좋았어요.^^야경도 이뻐요.",3
봄이 떠나가면서 주고 가는 선물 같은 날씨였습니다.,3
코로나가 빨리 종식되어 관광객들로 붐비는 활기찬 누웨마루 거리가 되었으면좋겠어요~ 자영업자분들 힘내시구요~ 지민처럼 사진찍기 아이들이 넘 좋아하네요~^^,3
제주 여행 필수앱 비짓제주!더 큰 사랑 받길 항상 응원합니다.,3
가족들과 벚꽃축제 구경하러 갔습니다 벚꽃  예뻐요 ,3
저희 조카들이 이모대신 지민이 발자취따라 사진 찍어 보내주었네요??  울 지민이 덕에 또 너무 행복한 추억이 되었네요! 너무 좋네요ㅋ,3
엄마랑 1년에 한번씩 제주 여행을 가는데요~! 올해는 졸업으로 인해 스케줄상 가지 못하였고 내년쯤 제주여행을 다시 계획하고 있습니다제주도를 너무 많이가서 어디장소를 공유해드려야할지 고민하다 “제주 용연 구름다리”가 기억에 많이 남아서 공유합니다많은 사람들이 이 명소를 잘 안가시는거 같아서공유합니다 용두암이랑 가깝고 특히 공항이랑 가깝습니다! 이곳이 좋다고 생각한 이유는 일단 풍경이 너무 아름답고 바닷물이 보여 힐링이 됩니다엄마랑 제주도에 많이 가봤지만 이곳은 처음으로 갔는데 정말 힐링 되었고 출렁다리가 있는데 그 다리가 정말 매력적이였습니다!내년쯤 여행계획에 용연구름다리를 가보았지만 밤에 가는것도 매력이라고 하셔서 이번에 가게 된다면 밤에 꼭 가보고 싶네요!,3
누에가 꿈틀대는 모습 같다하여 붙여진 누웨마루거리. 지민이 다녀간 핫플이라고 해서 들러보았는데 일단 인증샷 한 컷! 길 다라 걸으며 조형물도 보고 구경도 하면서 좋았습니다. 다만 가장 윗쪽 누웨마루 마스코트 부근 클럽 앞에서는 다들 마스크를 벗고 담배를 피고 있고 침도 함부로 바닥에 뱉는 모습이 보였는데 이쪽은 관리가 필요할듯합니다. 특히 외국인들도 많이 찾는 관광지인데 너무 지저분하고 무질서한 모습이여서 보기가 좀 그랬습니다. ,3
BTS지민이 왔다고해서 가본그곳!!맛집도많고 소품샵도많아서 신났어요~^^제주여행이라면 꼭 들러보세요!!,3
"딸아이와 제가 너무 좋아하는 BTS 지민~~같은 장소, 같은 포즈, 아마 제주가 좋았던 그 기분도똑같이 느꼈겠죠? ?? 사랑해요 지민? 사랑해요 제주~~??? ",3
제원 누웨마루 거리에 있는 다양한 음식점과 볼거리도 많았지만 이렇게 방탄소년단 지민씨의 포토존까지 마련되어있다니!!! 정말 좋은 추억 쌓고 가요~ 깨끗하고 아름다운 거리인 것 같아요 이런 포토존 마련과 함께 이벤트까지 운영하다니! 역시 제주 클래스에 놀라고 갑니다^^ 사이트에 관광지 소개도 있어서 너무 유용하네요!ㅎㅎ,3
딸이 좋아하는 BTS거리라 꼭 와보고 싶었어요. 주변에도 볼거리가 많네요. ,3
누웨마루거리에서 1월 가족끼리 제주여행왔다가 즐겁게 마무리하고 가요~ 셀픽스에서 인생네컷도 찍고 게임존에서 놀다가요!! 공항근처 숙소에 묵는다면 강추합니다 ㅎㅎ,3
캐니언파크 가려고 와서 우연히 누웨마루거리를 왔네요 지민존에서 사진도 찍고 트리도 이쁘고 용우동도 맛났어요,3
제주의 새로운 모습 잘 보고갑니다??넘 좋아요. 감사합니다.,3
성산읍에 위치한 흑미진 흑돼지샤브샤브 양도 푸짐하고 가족과 맛있게 먹을수있는 맛집입니다 가격도 착하고 직원분들도 친절하시며반찬까지 너무너무 맛있습니다. 경치까지 일품,3
너무 편안하고 예쁜 틸다하우스.아이와 함께 여행하기 좋은 곳.깔끔하고 넓은잔디밭과 아이놀이방 그리고 맛있는 아침은 틸다하우스에서만 느낄수있는 행복.,3
#제주 #제주여행 #제주가좋다 #게으른소나기 #게스트하우스 #한동리제주만의 느낌을 느낄 수 있어 좋앗다♥,3
모처럼 모인 3년만의 가족여행제주속의 제주  우도!눈으로 맘껏 담아왔지만  따뜻한 날에 다시 와서푸르름을 느껴보자는 가족들 ~ ^^정말 예쁘네요  강추입니다  ㅎ,3
,3
#보말칼국수#맛집#진한국물,3
#제주도 #한라산 #겨울 #사라오름 #설경 #상고대,3
#구좌읍 #구좌상회 #당근케이크 #브라우니 #치즈케이크 #유자에이드 #한라봉에이드 #돌담 #작업실 #제주도_카페 #제주여행공유 #해변가 #예쁨,3
#한담해안산책로#제주도여행#모녀여행#제주도추천여행지#제주도꼭가봐야할곳,3
#테디베뮤지엄#제주도여행#모녀여행#제주도추천여행지#제주도꼭가봐야할곳,3
#한림해안#제주도여행#모녀여행,3
#한림공원#제주도여행#모녀여행,3
#하고수동#우도해변#우도여행#우도투어#우도바다#우도,3
11월 방문한 제주 틸다하우스모래놀이터 주변에 동백이 활짝 피었네요 저 멀리 한라산과 산방산도 보이구요가족 휴양지로는 최고입니다.,3
# 제주비행기#일출 #새해#산굼부리#점프#해너미#위미동백군락지#금색치마#동백#독사진,3
#고내리포구#제주도여행#모녀여행#제주도추천여행지#제주도꼭가봐야할곳,3
#봄날까페#맨도롱또똣#제주도여행#모녀여행#제주도추천여행지#제주도꼭가봐야할곳,3
#스탬프 #올레길 #힐링,3
#한담해안산채로#제주도여행#모녀여행#제주도추천여행지#제주도꼭가봐야할곳,3
줄서서 먹는 제주맛집만복이네 김밥집,3
흑돼지구이 하영여기 맛있어요주차도 편해요,3
롯데호텔제주에서 푹쉬고 아침산책하며 둘러보기~^^,3
엄마와 함께 처음가본 여행 평생 잊지못할 추억 이였다제주도에서~,3
엄마와 함께본 사랑스런바다,3
우리는 우도를 건강한 두 다리로 다녔다 ?????♀?????땅콩아이스크림도 먹어보고바다에서 사진도 찍고 ????????#우도 #바다 #우도땅콩아이스크림#럽스타그램 #커플,3
제주 봉you 돈가스!!! 지나가는 길에 줄서있길래 무슨 제주도까지 와서 돈가스를 먹냐하고 관광하고 돌아오는데 저녁까지도 줄서있어서 궁금한 마음을 참지 못하고 들러봅니다! 줄서서 먹는 이유가 있었군요!!!!!안먹고 비행기 탔으면 너무 서운할 뻔~^^,3
#비자림 #벼락맞은비자나무,3
#올레길_7코스 #해안길따라,3
#외돌개 #기도하는_바위절벽 #감탄이_절로,3
#5월엔제주 #샤인빌리조트 #천지연폭포친정엄마랑 같이간 여행. .제주도는 너무 아름다웠고 거기 계신 엄마는 더더욱 아름다웠다~다시 기회가 된다면 겨울의 제주도 보고싶다아름다운제주! 그리고 아름다운 엄마,3
사장님이 직접 로스팅해서 먹을수 있는 맛있는 까페를 알게 되었어요~커피말고 다른 음료들도 수제품이라 믿고 먹을수 있는 곳이네요무더운 여름 용량도 가득하고 8월은 아메리카노커피가  1+1이라 가격 부담도 없네요~가성비 짱입니다~!!깔끔하면서 아늑한 공간까지~coffeestreet16 으로 가보세요~~^^,3
#카멜리아힐#겨울제주도여행,3
#히든클리프 #제주도 #좋아요 #사랑함 #201711 #인피니티풀 #풀파티 #소원말하기 #풍선날리기,3
#아침미소목장#겨울제주도여행,3
양이 꾀 많아서 여럿이 가시는거 추천해요바다가 앞이라 분위기도 좋아요,3
#세계자연유산 #거문오름 #숲해설가,3
#봄햇살 과 함께 독서 하는 여인들 ^^#주상절리대,2
제즌하면갈치!뜨끈한밥에  왕갈치 한점올려먹으면  정말끝내주는맛~,2
#제주유채꽃축제#유채꽃플라자#가시리풍력발전단지,2
오랜만의 제주도 여행~~^^,2
#정방폭포,2
허브동산 야간개장 예쁘다는 소문듣고 갔는데 상상 그 이상이예요♡♡꼭 야간개장 때 가세요!!!별빛축제 만세 만만세~,2
#협재해변 #금능해변 #파란하늘 #투명한바다 #푸른나무 #흰모래 #검은돌 #제주는사랑입니다,2
조용하고 깨끗한숙박시설  해비치,2
#함덕#제주도자전거여행#서우봉#함덕서우봉해변#나혼자여행#혼자제주#날씨,2
폭설로 한라산입산이 통제되어 성판악매표소까지 설경구경하러가는길..,2
2016제주 여름바다가 그리워 그리워~올여름휴가도 협재바다 콜~~~^^,2
"안개자욱 거문오름도 운치있고 신비롭기 그지없어요.꼭 가보세요. 제주 세계자연유산 거문오름한라산을 비롯 다양한 오름들도 볼 수 있고,숲속 비밀이야기도 들어볼 수 있는 있답니다.꼭 사전에 탐방예약하고 가세요~!",2
절물자연휴양림 숲속의집 숙박 느므느므 좋다!,2
#걷기좋은날 #날이좋아서 #날이적당해서 #올레길과함께한모든순간이아름답다,2
어마어마한 스끼다시에 놀랬단곳다 먹지 못해 아쉽다이곳은 제주도 가면 꼭 갈꺼예요,2
#돌칸이해변#어룡굴#한반도여#우도팔경#주간명월#우도투어#우도여행,2
#하고수동#우도해변#우도여행#우도투어#우도바다#우도,2
#푸른바다색깔 #넘나이쁜것,2
어머니와의 처음 여행을 작년봄에다녀왔습니다.좋지않은 건강상태였지만 송악산.협재.용연다리.여미지 . . 다녀왔습니다.,2
아름다운 애월바다,2
#아빠와아들이함께하는#12월의제주여행#올래국수#흑돼지#약천사#점보빌리지#코끼리트레킹#셋째는딸,2
#결혼5주년 #자동차여행 #용눈이오름 #부부 #셀프웨딩 #리마인드웨딩 #셀카,2
여행의 마지막 제주국제공항아쉬움 마음에 찍은 사진들,2
#마라도#제주도여행#모녀여행#제주도추천여행지,2
#절물휴양림#제주도여행#모녀여행#제주도추천여행지#제주도꼭가봐야할곳,2
#성이시돌목장#겨울제주도여행,2
#우유부단#겨울제주도여행,2
박물관 들어가는 입구부터... 정말 정성을 많이 들인 곳이구나 느끼게 된곳입니다.야외 놀이공간도 너무 이쁘고.박물관 내부도 깔끔하고. 전시내용도 참 알찹니다.전시된 물고기. 상어. 게.새우. 모두다 실물박제라서 아이들이 가까이에서 관찰하고... 만져볼수있는 공간도 있습니다.단순한 볼거리를 넘어 새로운 지식을 쌓을수있는..  제주의 새로운 여행지로  추천하고 싶습니다,2
#함덕서우봉해변야경,2
수요미식회ㅡ명진전복 전복돌솥밥.전복구이,2
#함덕서우봉해변노을,2
#올레길4코스시작 #멋진해안길 #봄봄봄,2
성게알 미역국하고 해물뚝배기 시켰더니 생선구이와 생선튀김은 서비스로 나오네요^^,2
장수물식당 고기국수방송에도 나왔더라구요^^,2
들어가면 마치 잠수함을 탄 것처럼 바다가 너무나 가까이 있는 것처럼 느껴지는 곳이에요.  날씨가 흐린 날에도 볕이 따뜻한 날에도 제가 좋아하는 사람람들과 함께한 곳이에요. 그런 곳 있잖아요.  좋은 사람에게 좋은 것을 함께 공유하고 싶은 마음이 드는 곳 ! 바다 건너편에 뜬 무지개도 이곳 창가를 통해 보았는데 정말 꿈을 꾸는 것 같았어요. 겉으로 보기에는 녹슬고 허름한 장소이지만 발을 들여놓는 순간 펼처진 바다 풍경 참 아름다워요~저에겐 아주 특별한 장소랍니다^^,2
우도카페에서 먹은 땅콩호떡,2
표선해수욕장에서 아이들과  함께 즐겁고  행복한 산책. 너무도 밝은 모습은 세상무엇과도 바꿀수없을듯하다.  지금이순간처럼 우리가족 모두 행복하게 앞으로 잘 살면좋겠다,2
모구리야영장 휴관 공지 떠있던데요?,2
제주카페여행올때 추천해주고 싶은 카페.한적한 공천포 바다가 보이고 늘 그자리에서 같은 커피맛을 느낄수있는 곳!!!친절하신 사장님과 사계절 다른 계절의 바다뷰를 볼수있는곳!!!늘 좋은원두로 맛있는  커피를  맛볼수있고..거기다 가성비굿!!!커피와함께  맛있는와플까지 함께하면 더좋은곳~~맛있는커피맛보시러가보시길!!!공천포카페숑으로~,2
#해질녘 찾은 #모슬포항 오래된 #어선 #정감 #운치 #힐링,2
#삼다버거 #쉬는날 #벽화 #색감 #예쁘즈,2
#25만평황금보리청보리축제,2
#애월한담해안도로,2
"지금 올린 사진은 제주 삼양동에 위치한 #바다 #검은모래해변 입니다.비바람이 몰아치던 날에 관광객이라곤 오로지 동행 뿐.그럼에도 그 고운 모랫결도 느끼고 근처에 제주 향토 음식점으로 알고 찾은 로컬 맛집인#화성식당 있으니, 무조건 가세요! #먹거리 #접짝뼈국 이건 예술입니다 ^^",2
백종원3대천왕에나온곳 .미리주문했다가  숙소에서 맥주랑맛있게소스찍어서먹음.바삭하니  느끼하지않고좋음,2
제주별미 고등어회,2
분위기있는 곳에서  와인한잔~^^,2
눈이 즐겁고 간단한 요깃거리도 함께 있어서 좋다 3,2
#제주 #제주여행 #본태박물관 #나홀로여행,2
제주도에 6개월동안 살고 여행하면서 첫오름인 따라비오름을 갔다왔습니다. 차가 없어서 택시타고 갔다가 친절한분을 우연히 만나 잘 올수있었어요.^^ 가끔은 지네에 물리기도 바퀴벌레가 나오기도 개구리가 집에 들어오기도 하는 서울과 다른 제주이지만 자연이 주는 아름다움은 나를 여기에 살게 그리고 제주를 사랑하게 만드네요~!,2
좋으다~좋으다~수요미식회 수우동 많은 기다림 끝에 드뎌 성공^^오션뷰에 완전 심쿵~돈가스.자작냉우동.덮밥.튀김에~심멎,2
결혼20주년기념 제주 당일치기 여행~당일치기도 해볼만한jeju,2
제주 서부 해안로 따라 가다 저녁노을이 너무너무멋져 한컷~,2
일주일간의 제주여행 속 산굼부리너무 아름답고 제주스러움이 묻어났다저렇게 사진 찍고 비가 내렸다..... (???????????????? ?) 혼자여행의 동반자였던 삼각대와 함께 너무 즐거웠다 ♡´???`♡ #제주도#제주#산굼부리#여행#여행에미치다#억새,2
"유채꽃과 벚꽃의 환상적인 조화! 파아란 하늘과 노오란 유채꽃, 분홍분홍 벚꽃이 마치 동화속 장면처럼 눈 앞에 펼쳐졌어요.  내년에도 또 보러가고싶어요! 제주에서만 볼 수 있는  아름다움이라는 생각이 듭니다~",2
#쇠소깍,2
#외돌개,2
#일몰 #노을#풍력발전기 #나의소중한장소 #몇안되는_베스트샷 #제주도,2
,2
#유유부단 #성이시돌목장,2
#섭지코지 #점프샷,2
#양버거 #석버거 #경버거 #초코셰이크 #닥터페퍼 #코크 #빈티지 #마을회관 #예쁨,2
#제주 #월정리해변 #바다 #풍경 #까페거리 #제주여행,2
"#오설록티뮤지엄,#녹차케잌,#이니스프리제주도가면 늘 들리는 오설록티뮤지엄이에요.녹차도 사고, 비누도사고, 녹차케잌도 먹고비누만들기 체험도 할 수 있어서 너무 좋아요.",2
"#휘닉스아일랜드,#가을억새,#민트레스토랑&휘닉스 아일랜드 올라가는 길에 피어있는 들꽃이에요제주도 풍경과 너무 잘 어울리는것 같아요.",2
"#레이지박스,#당근케잌,#당근주스,#용머리해안,#카페당근케잌과 주스가 유명한 레이지박스에요.카페에서 용머리해안이 바로 내려다 보여 여행에 지쳤을때잠시 쉬었다 가면 좋을거같아요.",2
제주최대 키카가 아닐까싶다~저 로봇조종하는 재미가 쏠쏠~#애월#키즈까페#파파월드,2
아이들과 함께 관람이 가능한 제주도립미술관1층은 아이들이 좋아하는 로봇전시회가열려 로봇의 구조를 이해할수있었던곳~!!!!! 200%강추!!!!!!#미술관#로봇#갤러리#제주시,2
"#제주도 #백패킹 여행을 함께 하기로한 일행들을 기다리며 제주공항에서 가장 가까운 #용두암과 #용담공원을  둘러보았습니다. 용두암도 멋있었지만, 용담공원은 정말 #숨은명소 였어요^^ 생각지도 못한 #아름다운곳 이었습니다.",2
#카멜리아힐 #제주도 #여행 #관광지 #사진찍기좋은곳 #가족여행 #커플여행 #힐링여행 #1월의제주 #1월의제주도,2
중문 롯데호텔4층에 아이들과 놀이할수있는 키즈존있어요~ 4층은 키티세상~야옹~~###중문#호텔#키티,2
#제주#제주도뚜벅이여행#함덕서우봉해수욕장혼자 여행 뚜벅이 여행중 들린 함덕 서우봉해수욕장 제주도의 해수욕장 여러곳을 방문했었지만 여기가 최고였다,2
코끼리 6마리등장에 아이들 함성!!!! 바나나3개 구입해 중간중간 아이들이 코끼리에게 직접 간식도 줄수있는곳~동남아에서 볼수있던 쇼를 제주에서 볼수있어 좋았던곳~#코기리쇼#바나나피딩#애월아이와 함께,2
바다친구들과 즐거운시간~^^ 바다코끼리가 세상 귀여운지 처음 알았어요~^^#아쿠아플라넷#바다코끼리#가오리,2
성산일출봉옆 아쿠아플라넷~ 바다코리끼리.상어.가오리.돌고래등 아이들이 좋아하는 바다친구들 만나볼수있어 좋았답니다플러스로 성산일출봉을 바라보며 커피한잔 하기도 좋았구요~^^#아쿠아플라넷#가오리#성산일출봉,2
,2
어린시절부터 함께한 친구들과 따뜻한 봄날 떠났던 비양도 섬 여행. 봄날 드라마 촬영지이기도 하다. 북적이는 관광객들로 복잡한 관광지가 아니라 한산하게 제주스러움 느낄 수 있었던 조용한 비양도의 매력! 유명세를 탄 관광지의 혼잡함을 싫어하시는 분들 서둘러서 다녀오시길 추천합니다.,2
어린시절부터 함께한 친구들과 따뜻한 봄날 떠났던 비양도 섬 여행. 봄날 드라마 촬영지이기도 하다.  북적이는 관광객들로 복잡한 관광지가 아니라 한산하게 제주스러움 느낄 수 있었던 조용한 비양도의 매력!유명세를 탄 관광지의 혼잡함을 싫어하시는 분들 서둘러서 다녀오시길 추천합니다.,2
#노리매공원 하늘이 너무 예뻤던 날~,2
#제주#jeju#환상의섬#몽돌#제주여행#제주투어#제주자유여해#제주도#,2
#제주 #제주여행 #위미리동백군락지 #나홀로여행 #26살의마지막여행제주도라면♥ 혼자여도 괜찮아♥,2
"사진찍고보니 신혼부부 같은 이느낌,사실은 5년째 연애중~세화해변에서 인생샷 남기고 온 우리#세화해변 #셀프스냅 #커플여행 #커플룩",2
"부모님과 서귀포 여행중에 들렀어요. 서귀포 시내에서 차로 10분정도 떨어진  아주 아름다운 보목포구 바로 옆인데 너무 아름다운 찻집이예요. 테이블, 소품, 인테리어, 50가지가 넘는 직접 만드신 차들, 어느것 하나 부족함이 없어요. 가장 마음에 들었던 것은 마음에 위안을 주는 은은한 차맛이었어요. 이번 여행을 계기로 차생활에 입문했어요. 제주 가면 이제 꼭 가봐야할 곳이 있어서 좋아요.",2
#딸과  함께간  제주여행카멜리아힐  가봤는데  넘넘좋아    추천해드리고십네요여름에도  가볼생각입니다수국보러요~~~^^,2
산방산을 보면서 힐링할 수 있는 탄산온천...제주도에 이런 야외온천이 있을줄은 몰랐다. 물도 따뜻해서 초봄에 갔는대도 너무 좋았다.  겨울이나 가을에 오면 더 운치있을듯..아름다운 경치를 즐기며 여행의 피로를 풀기 좋은곳 이다.,2
이승만별장길에서 엄마랑 함께 가는 길,2
유네스코 세계자연유산 성산일출봉#일출봉 #성산일출봉 #유네스코세계자연유산,2
# 겨울 제주 #성산일출봉에서의 다짐 #2018년 승리 #자연의 경이로움 #자연 그대로의 색 #제주 매력,2
#제주#제주도#제주자유여행#제주여행#jeju#제주현대미술관#부모님과제주여해#혼저옵서예##,2
편백내장....편백향이 가득해요..아침일찍 옥상에서 바라보는 우도와 성산일출봉 사이에서 올라오는 태양이 넘 멋져요.쉬멍쉬멍 오르는 뒤 동산의 제주오름 지미봉.... 정상에서의 한라산과 우도 성산일출봉 철새도래지 넘 가관....올래 21과 맞닫는 곳  아무런 사색없이 무작정 걷다가 잠시 머무를 수 있는 곳밭담사이.... 넘 좋아요 종달해수욕장 까지는 80m 떨어져 있어 부담없이 해수욕을 즐기다 집에서 씻을 수 있어 넘 좋아요.글구 바로 옆 건물에는 누구나 쉬며 책을 읽을 수 있는 책카페가 있네요..........,2
#제주#제주도#제주여행#제주자유여행#협재해변#협재야영장#제주바다#jeju#환상의섬제주,2
"#섭지코지,#오징어섭지코지가는길에 오징어 말리는 풍경?눈부시게 파란 하늘에 비춰진 오징어 속살",2
"#연미정,#전복구이,#전복돌솥밥연미정은 전복돌솥밥으로 유명한 집이에요.돌솥밥만큼이나 전복구이 또한 너무나 맛있어요.",2
#제주 #주상절리 #바다 #대포동주상절리,2
#제주맛집 #제주맛집추천 #제주핫플 #핵존맛 #제주조천읍맛집 #조천맛집 #청귤소바 #도토리키친,2
"태교여행으로 봄이와 함께한 겨울의 제주도,오름과 바다 그리고 12월의 유채꽃",2
성산일출봉 날씨 좋을 때 가면 드라이브로도 좋고~ 벤치에 앉아서 바다 구경하는 재미도 있어요 ^^,2
,2
#바다#몽돌해변 #알작지 #내도동 #내도알작지,2
#한라산눈꽃 #백록담가는길,2
#서연의집 #건축학개론 #제주 #바다 #하늘,2
"현지인 맛집이라는데 전국구 맛집입니당~ 서울에 고성장터국밥 오픈해주세요. 아침밥으로 최고!!엄마아빠는 국밥, 애들은 국수 온가족 입맛 백퍼 맞춤입니다!!",2
주차장에서 새별오름을 마주보고 왼쪽으로 올라가면 ..  헬...오른쪽으로 돌아 올라가면 경사가 완만합니다.개인적으로 억새는 아끈다랑쉬오름을 추천합니다.,2
#카멜리아힐 날씨도 좋았고 꽃도 너무 예뻤고 생각했던것 보다 구경거리도 많고 넓었어요~,2
#협재해변#겨울제주도,2
#새별오름 #경치 #짱 #갈대,2
#녹차 #오설록 #해질녘,2
#제주도 #최고의 #숙소 #친절 #조식은 전복죽,2
,2
#제주 #제주도여행 #바다캔들 #제주바다캔들  제주바다가 소복소복 담긴 제주바다캔들. 바라보고 있으면 제주도 여행의 추억이 떠올라서 행복해져요 :),2
#성산일출봉 #일출 감상 후 건축물에 관심에 많은 제가 조르고 졸라서 가게 된 #안도타다오 의 #지니어스로사이 는 건물과 조형물만으로도 사람을 #압도 시키는 매력이 있었습니다???? 웅장한 건물 벽 사이로 보이는 성산일출봉의 모습은 #셔터 를 계속해서 누르게 했습니다. #제주 만의 아름다움 풍경과 안도타다오의 건축물의 조화는 #제주도에간이유 로 충분했습니다. 내년 겨울에 안도타다오의 다른 건축물인 #본태박물관 에도 방문할 계획입니다?? 가도 가도 아름다운 곳 천지인 #제주도는사랑입니다 ??,2
