리뷰내용,추천수
골드스텔라호 프로모션 덕분에 지난주 환상의자전거도로 라이딩을 갈 수 있었고 그때 들렀던 김녕의 한라식당 추천합니다.사실 혼자 식당에가서 밥먹기가 쉽지만 때론 불편할 수도 있는데 김녕에 있는 한라식당은 지역민들이 주로 이용하는 곳이다보니 부담없이 가서 먹을 수 있었습니다.저는 우럭정식을 먹었습니다. 사실 큰 기대없이 먹었는데 튀겨진 우럭이 정말 맛있었구요. 생각보다 살점도 많고 소스도 맛있어서 밥 비벼서 다 먹었네요 ^^사장님도 친절하시고 제주도하면 바가지음식과 관광객을 대상으로 하는 그런 사장님들에게 속는 기분도 많이 들었는데 이런 일반적이지만 제주의 특별한 음식을 먹을 수 있어서 좋았습니다.다음에 가족들과 여행하게되면 꼭 다시 들르고 싶어졌네요.가볍지만 맛있었던 숨은 맛집으로 인정하고 싶습니다.P.S 제주도 라이딩할 때 초등학교 4학년 딸아이 아이팟을 빌려왔는데 그만 서귀포 어딘가에서 분실하는 바람에 큰딸이 많이 속상해하고 있네요ㅠ 다음달 방학하면 제주로 여행가기로 했는데 사춘기를 맞이하는 딸에게 제주특별자치도로부터 좋은 선물을 받으면 행복해지지 않을까 기대합니다.다시 사주기엔 외벌이로 세 아이를 키우는데 부담이 있어요ㅠ 제주 여행을 앞두고 있는 상황인데 제주관광공사에서 선물해준다면 더 큰 의미를 가질 것 같아서 조심스럽게 부탁드립니다 ^^; 감사합니다~,6
셀프 웨딩 촬영 장소로 어느새 명소가 된 제주 테쉬폰!이시돌 목장 근처와 평화로 부근 두 곳에 독특한 건출물이 발걸음을 멈추게 합니다.,6
#일출 #소원빌기 #아름다움 #6시30분,6
#망고홀릭 #망고카페 #디저트카페 #vj특공대 #임금님빙수 #팥빙수 #눈꽃빙수#애월해안도로 #생망고디저트 #망고빙수,6
아름다운 제주의 사진으로 추억을 남기는 모습을 다시 사진으로 찍어 나만의 추억으로..,6
,6
지난여름 제주올레돔펜션에서 묵으면서 옆에 코스모스밭이 너무이뻐서 셀프웨딩촬영했어요,6
제주도립미술관 건물에는 제주의 미학이  담겨져있다? 검고 구멍이 송송난 제주의 돌이 발밑과  손끝으로 느껴진다  ?그리고 겨울 봄여름 그리고 가을  ?변화무쌍한 제주의  사시사철이  반사연못에 담겨진다  ? 이 반사연못은  제주도립미술관을 대표하는 예술작품이다 ? 자연이  그려준  이 예술작품속에 나의 얼굴도 담아보고  사랑하는 그대 얼굴도 담아본다?그러면 나만의  예술작품이  탄생한다 ? 제주의  숨결과 자연이  모두담긴 반사연못에서  나만의  명작을 만나며  제주의 심연을 느껴보자,6
1살 조카의 인생샷을 위한 제주 여행,6
서귀포 정방폭포근처에 있어서 미리예약하고 방문~ 음식하나하나 깔끔해서 맛있고 직원분들도 너무 친절해서 관광지에서 대접받은 기분 최고!,5
#내도동#알작지해변#몽돌해변#몽돌바당#방사탑,5
저 멀리 보이는 성산일출봉과 넓은 광치기 해변  아름다운 도두봉야경 초록초록 신선한 산굼부리 여름밤에 시원했던 천지연 폭포야경^^,5
,5
성산일출봉과 바다 파노라마!,5
,5
지난여름 세화해변이랍니다,5
이호해수욕장의 명물 말등대 일몰시간쯤 가면 동화같은 사진이 펼쳐집니다.,5
"꿈 같았던 여름 휴가 ??벌써 다녀온지 3개월이나 지났지만, 아직도 제주도사진만 보면 그때가 생각나서 설렌다??수학여행 이후로 처음 가본 제주도,바다 중에서 가장 이뻤던 김녕성세기해변..물이 정말 투명하고 맑고, 빛나는 모래까지! 신비스러운  김녕성세기 잊지못할거같다 ??유명하다는 해변은 다 다녔지만 김녕성세기만큼 이쁜 곳은 없었다 ??또 가고싶을 정도로 너무 좋았던 제주도여행!!??",5
지난여름 더럭분교에서 셀프웨딩촬영을했답니다,5
제주 여행중 빠질수없는 먹거리 국수... 그중 으뜸은 국수의전설.딸아이 식사중 파 하트를 발견하고 아빠에 먹여주려는 이쁜 사랑.,5
#먹거리 #제주해물밥 #신선한해물밥 #이호테우해변근처맛집,5
#애월카페 #애월해안도로 #한치해물라면 #해물라면 #한치비빔쫄면 #포메르,5
지민이 갔다는 누웨마루거리 포토존에서 사진을 한번 찍어보았습니댜 너무 예쁘고 내년에도 이러한 포토존이 많이 생겼으면 좋겠어요,5
오랜만에 방문한 제주에서 마지막 여행지였던 누웨마루거리...맛집탐방과 쇼핑 뿐 아니라 낭만적인 겨울 분위기를 느낄 수 있어서 넘 좋았어요. :),5
