대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리(M),이용시간(분)
202606,03757,3757. 신방화역 6번출구,일일권(비회원),,기타,12,592.51,5.35,23018.86,156
202606,01011,1011. LIGA 아파트 앞,정기권,M,70대이상,15,899.03,8.10,34927.44,447
202606,02615,2615. 테라타워2,일일권(3시간),F,20대,1,469.07,4.23,18223.55,122
202606,03646,3646. 선정릉역 4번 출구,정기권,M,~10대,3,64.10,0.58,2490.16,13
202606,00661,661. 경희대학교 청운관,가족권,M,~10대,3,336.86,2.64,11342.00,154
202606,00946,946. 독바위역 ,정기권,,30대,35,2014.56,18.16,78266.39,1529
202606,03757,3757. 신방화역 6번출구,일일권(비회원),,30대,1,32.69,0.29,1270.00,4
202606,00829,829. 한강대교 북단 교차로,일일권,,50대,8,1446.26,13.04,56187.58,317
202606,03573,3573.광나루안전체험관,일일권,F,20대,62,3604.79,32.47,139855.82,1229
202606,03509,3509. 세종사이버대학교,정기권,F,40대,113,6943.49,62.58,269753.11,1648
202606,01841,1841. 가산동 주민센터,일일권,M,20대,35,2637.74,23.69,102100.40,886
202606,03853,3853. 어린이대공원역 2번출구,일일권,,~10대,1,168.44,1.52,6543.99,47
202606,01158,1158. 가양역 8번출구,일일권(3시간),F,20대,3,706.82,6.37,27460.14,286
202606,03781,3781. 강서아동복지센터,정기권,F,20대,1,25.11,0.23,975.36,6
202606,04719,4719. 종로문화원 건너편,일일권,,40대,14,628.09,5.65,24401.65,201
202606,00272,272. 당산육갑문,일일권(3시간),F,20대,6,2104.77,18.98,81770.54,688
202606,00457,457. 종로꽃시장 입구 옆,일일권,F,~10대,2,267.09,2.41,10376.75,95
202606,03543,3543. 세종대학교(학술정보원),정기권,F,50대,3,78.34,0.71,3043.81,109
202606,01702,1702. 녹천역 1번출구 앞,정기권,F,30대,23,737.07,6.64,28634.92,229
202606,01656,1656. 중앙하이츠 아파트 입구,정기권,M,30대,190,6249.89,55.80,240765.13,3164
202606,04102,4102. 휘경1동주민센터 앞,정기권,M,40대,134,9308.25,81.42,354999.68,2575
202606,04857,4857. 올림픽공원 장미광장,일일권(3시간),M,~10대,1,111.60,1.01,4335.54,55
202606,04809,"4809. 동성1,2차 아파트 앞",일일권,,40대,3,517.65,4.67,20111.20,151
202606,02730,2730.마곡메가박스 앞,정기권,,70대이상,1,47.64,0.43,1850.92,12
202606,05760,5760. 풍납사거리 성내유수지,일일권,,40대,4,296.57,2.67,11521.75,133
202606,00752,752. 성원2차 아파트,정기권,,50대,28,1419.98,12.79,55165.95,511
202606,01726,1726. 삼익세라믹아파트교차로,일일권,M,50대,3,82.48,0.75,3204.13,48
202606,01450,1450. 화랑대역 7번출구,일일권(비회원),,기타,5,409.44,3.69,15906.74,173
202606,00105,105. 합정역 5번출구 앞,일일권,F,20대,24,2159.96,19.64,84731.36,703
202606,00279,279. 영등포 푸르지오 아파트 B,정기권,F,40대,82,3885.08,35.12,151279.57,1596
202606,01153,"1153. 발산역 1번, 9번 인근 대여소",정기권,F,~10대,77,3754.31,33.82,145853.69,1066
202606,01682,1682. 중계종합사회복지관 교차로,정기권,M,30대,48,2301.68,20.77,89420.74,820
202606,04036,4036. 하계역 6번출구,정기권,,30대,131,3998.07,35.99,155326.60,2508
202606,00815,815. LIG강촌아파트 103동앞,일일권,F,60대,1,186.28,2.27,9800.00,63
202606,05753,5753. 호반써밋,정기권,,30대,39,1194.93,10.76,46422.79,489
202606,04041,4041. 공릉역3번출구,정기권,F,30대,117,5579.12,50.42,218144.12,2496
202606,00370,370. 시청역(2호선) 9번출구 뒤,일일권,F,~10대,1,24.91,0.22,967.78,9
202606,00745,745. 강서초등학교,가족권,,~10대,2,83.12,0.75,3229.30,102
202606,00513,513. 뚝섬역 5번 출구 정류소 옆,일일권,M,30대,36,2019.13,17.50,76639.60,917
202606,02339,2339. 현대아파트 정문 앞,일일권,,30대,17,2083.50,18.78,80943.97,474
202606,00754,754. 목동1단지아파트 118동 앞,일일권,,20대,22,899.14,8.10,34931.91,225
202606,00602,602. 장안동 사거리,가족권,F,~10대,5,747.43,6.74,29037.62,257
202606,03806,3806. 낙성대 교수아파트,정기권,F,20대,11,412.83,3.71,16037.67,213
202606,01510,1510. 번동주공5단지 관리사무소 앞,정기권,F,50대,9,314.29,2.83,12210.17,93
202606,01684,1684. 태릉입구역 5번출구,정기권,,30대,296,16996.36,153.25,667999.06,6043
202606,04149,4149.제기동역 5번출구,일일권(비회원),,기타,11,1252.02,11.28,48641.31,334
202606,02503,2503. 반포1동 서초빌딩 앞,정기권,F,20대,32,2587.95,23.31,102062.66,636
202606,04836,4836. 양원역 1번 출구,일일권(비회원),,기타,4,104.47,0.93,4058.42,57
202606,03786,3786. 강서힐스테이트 상가 앞,정기권,,60대,4,173.29,1.57,6732.35,162
202606,01063,1063.강동롯데캐슬퍼스트 아파트(관리동),정기권,F,50대,56,2198.00,19.82,85393.63,1277
202606,02032,2032. 이수역 11번출구쪽,정기권,F,50대,24,909.75,8.20,37970.30,288
202606,00410,410. 상암중학교 옆,정기권,F,~10대,3,85.03,0.77,3303.40,21
202606,01259,1259. 방이역 1번출구,일일권,,60대,1,95.57,0.86,3712.79,26
202606,01812,1812. 갑을그레이트밸리 앞,일일권(비회원 3시간),,기타,1,150.40,1.36,5843.07,129
202606,05309,5309. 월계 롯데캐슬아파트 뒤,일일권,F,40대,3,289.44,2.62,11244.64,95
202606,00852,852. 청암자이아파트 앞,일일권,M,20대,70,8559.31,76.03,327903.66,1932
202606,00742,742. 등촌역 5번 출구 뒤,일일권,M,20대,70,3669.49,33.12,142558.72,1010
202606,00543,543. 구의공원(테크노마트 앞),정기권,M,50대,210,13416.27,120.73,519972.27,4279
202606,00841,841. 신용산역 1번 출구,일일권(3시간),M,20대,1,144.25,1.30,5603.97,166
202606,01734,1734. 쌍문현대1차아파트 108동 앞,일일권,,~10대,1,43.79,0.39,1701.40,38
202606,00930,930. 구 서부경찰서 건너편,일일권,F,30대,7,512.19,4.62,19898.20,175
202606,05768,5768.방이삼거리,일일권,M,기타,1,23.54,0.21,914.35,5
202606,01461,1461.동양엔파트 앞,일일권,F,60대,1,42.42,0.38,1648.08,16
202606,01526,1526. 강북종합시장 앞,가족권(2시간),F,~10대,1,310.28,2.80,12054.40,96
202606,00578,578. 성동세무서 부근,정기권,,50대,18,1799.10,16.24,69894.96,469
202606,00398,398. 을지로3가역 3번출구,정기권,F,30대,97,5693.78,51.47,227391.18,2063
202606,04062,4062. 평화도봉공원 주변,정기권,,50대,33,1511.80,13.60,58733.99,392
202606,05334,5334. 화랑대역 3번출구,정기권,F,30대,19,605.86,5.48,23537.47,425
202606,02274,2274. 양재시민의숲역 3번출구,일일권(비회원),,50대,1,91.42,0.82,3551.73,43
202606,03533,3533. 건대입구역 사거리(롯데백화점),일일권,M,50대,38,3778.35,33.91,146205.42,1028
202606,00106,106. 합정역 7번출구 앞,일일권,,~10대,2,444.70,4.01,17276.58,144
202606,00106,106. 합정역 7번출구 앞,일일권,,기타,24,5305.23,47.81,206109.33,1642
202606,04558,4558. 대영중고 후문,정기권,F,50대,38,2263.33,20.43,87931.94,680
202606,05763,5763. 세륜초등학교 건너편,정기권,M,60대,5,211.89,1.92,8231.68,60
202606,06060,6060. 신한은행 본점,일일권(비회원),,20대,2,219.27,1.98,8518.31,45
202606,00956,956. 응암시장교차로,일일권(비회원),,30대,1,362.14,3.26,14069.18,53
202606,04452,4452. 삼성SDS,정기권,,40대,380,32427.22,292.31,1269943.25,8431
202606,04938,4938.LH수서2단지 201동 앞,정기권,F,30대,183,8559.66,77.18,334786.80,3201
202606,01720,1720. 도봉구청 옆(중랑천변),일일권,,50대,11,1406.85,12.69,54656.05,317
202606,00965,965. 서울특별시 은평병원,일일권,,30대,19,1099.62,9.92,42720.42,284
202606,02901,2901.공릉동풍림아파트 101동,정기권,F,60대,20,1656.74,14.93,64363.61,420
202606,03506,3506. 영동대교 북단,일일권(비회원),,40대,13,378.60,3.41,14708.37,102
202606,01382,1382.래미안월곡아파트 입구,정기권,F,40대,39,1752.58,15.78,68088.16,519
202606,00904,904. 은평뉴타운 푸르지오,정기권,M,40대,72,4270.13,38.48,165893.31,1102
202606,05751,5751. 송파여성축구장,일일권(비회원),,기타,1,25.68,0.23,997.76,20
202606,00106,106. 합정역 7번출구 앞,일일권(3시간),F,20대,6,1440.62,12.99,55967.94,615
202606,02812,2812.항동프라자,일일권,F,~10대,2,261.99,2.36,10178.54,124
202606,01088,1088.풍납사거리(강동),정기권,M,70대이상,6,249.56,2.25,9695.22,60
202606,01169,1169. 염창역 1번 출구,정기권,F,20대,104,2870.90,25.94,111533.88,1074
202606,05897,5897.여의도공작아파트,정기권,F,30대,40,3022.79,27.26,117435.23,1044
202606,04545,4545. 청소년음악센터,정기권,M,60대,22,853.73,7.69,33167.52,207
202606,05861,5861. 보라주유소 앞,정기권,F,30대,31,1143.63,10.31,44430.69,385
202606,03797,3797. 마곡수명산파크7단지 710동 앞,일일권,M,60대,1,12.73,0.11,494.54,4
202606,03765,3765. 문소빌딩,정기권,,50대,14,912.17,8.21,35438.56,261
202606,04547,4547. 목동역 2번 출구,정기권,M,60대,69,2374.04,21.38,92230.81,1076
202606,00850,850.KCC용산웰츠(WELLTZ)타워,일일권(비회원),,70대이상,6,284.79,2.55,11063.73,109
202606,01429,1429. 장안중학교,정기권,M,30대,81,4080.36,36.80,158404.30,1827
202606,00406,406. 상암월드컵파크 7단지 앞,정기권,F,~10대,22,443.09,4.01,17213.94,137
202606,00576,576. 광나루역 3번 출구,일일권,M,기타,1,474.10,4.27,18418.66,88
202606,02189,2189. 봉천역 4번출구,일일권,,20대,17,1019.71,9.19,39615.77,432
202606,02806,2806.항동지구 4단지 입구,정기권,M,30대,19,1471.66,13.27,57174.45,279
202606,03658,3658. 프라이어팰리스아파트,정기권,,50대,26,2018.22,18.20,79344.41,1213
202606,05334,5334. 화랑대역 3번출구,일일권(3시간),F,40대,1,20.08,0.18,780.00,59
202606,04509,4509. 서울영상고교 입구,정기권,,40대,152,6656.56,60.00,258607.47,2464
202606,01174,1174. 강서구청사거리(부민병원),정기권,F,기타,1,25.96,0.23,1008.59,4
202606,05504,5504.아현교회,일일권,F,40대,3,44.13,0.40,1714.58,9
202606,04964,4964.암사역사공원역 1번출구 A,일일권,F,~10대,3,83.19,0.75,3231.74,26
202606,00750,750. 연의근린공원 건너편,일일권(비회원),,~10대,1,88.06,0.79,3420.98,23
202606,03763,3763. 등촌태영아파트,일일권,,40대,2,345.15,3.11,13409.20,65
202606,02271,2271. 내방역 8번출구 앞,일일권,,40대,3,234.93,2.12,9127.11,70
202606,00288,288. 쌍용예가(구청별관),정기권,,30대,101,3814.04,34.38,152597.04,1646
202606,03634,3634. 국악고교 앞 교차로,일일권,,20대,6,653.14,5.89,25374.32,138
202606,01028,1028. 포레스 주상복합 빌딩,정기권,,40대,70,1921.27,17.33,76497.34,794
202606,01946,1946. 구로역 광장,정기권,,20대,157,6433.20,57.97,249932.03,2229
202606,02347,2347. 두산건설 본사,일일권,F,30대,18,1898.74,17.13,74698.81,684
202606,04394,4394.서울시립24시간게스트하우스,정기권,,40대,35,1435.80,12.96,55780.43,509
202606,00433,433. 을지로입구역 2번출구,가족권,M,~10대,2,33.07,0.30,1284.53,10
202606,01514,1514. 강북구청 사거리 버스정류소 앞,일일권,M,20대,32,2748.73,24.78,106787.39,612
202606,00407,407. 마포구 육아종합지원센터,일일권,,20대,10,272.17,2.45,10573.65,152
202606,03425,3425.광화문 풍림스페이스본 1단지앞,정기권,M,60대,20,1103.24,9.93,42861.01,487
202606,03661,3661. 명일동신동아아파트 앞,정기권,M,20대,17,672.58,6.07,26130.42,184
202606,00777,777.신월6차보람아파트 앞,일일권,M,20대,40,3277.81,29.52,127343.56,778
202606,00283,283. 아크로타워 스퀘어(영등포시장),정기권,,~10대,1,104.47,0.70,2997.79,15
202606,03780,3780. 등촌서광아파트,정기권,F,~10대,4,223.90,2.02,8698.70,91
202606,00860,860.LG한강 자이아파트 앞,일일권(비회원),,20대,9,1111.11,10.03,43166.29,233
202606,03612,3612. 은곡마을,일일권,M,30대,9,870.34,7.85,33812.88,171
202606,00848,848. 삼각지12번 출구,일일권,M,40대,6,1601.14,14.45,62204.45,364
202606,01516,1516. 우이동길마을마당,일일권,M,30대,8,179.91,1.63,6989.69,51
202606,00569,569. 응봉현대아파트 정류소,정기권,,60대,1,133.85,1.21,5200.16,62
202606,02538,2538.사평리근린공원,정기권,,60대,3,416.75,3.76,16190.58,109
202606,00259,259. 대방역6번출구,일일권(비회원),,60대,1,52.94,0.48,2056.83,20
202606,02109,2109. 은천로입구 가로공원,일일권,F,기타,1,299.68,2.70,11642.77,51
202606,00820,820. 청파동입구 교차로,일일권(비회원),,50대,2,102.94,0.93,3999.05,43
202606,01332,1332. 석계역 5번출구 건너편,정기권,F,30대,73,5202.75,46.91,202127.11,2404
202606,04569,4569. 힐스테이트클래시안아파트,정기권,F,60대,2,79.31,0.71,3081.38,58
202606,02187,2187. 현대시장사거리,일일권,,40대,4,163.84,1.48,6364.96,103
202606,01708,1708. 도봉보건소사거리,일일권(3시간),M,40대,4,3735.61,33.66,145128.57,772
202606,03647,3647. 구룡역 1번 출구,정기권,M,40대,57,1829.08,16.44,71060.23,700
202606,03534,3534. 건대입구역 5번출구 뒤,일일권,,~10대,7,1111.41,10.02,43178.26,308
202606,00417,417. DMC역 2번출구 옆,정기권,F,40대,51,2413.73,21.77,93774.91,767
202606,04841,4841. 중화수경공원,일일권,,~10대,1,475.72,4.29,18481.93,97
202606,01403,1403. 중화빌딩 앞 (동부시장),일일권,M,40대,7,1079.94,9.75,46464.60,281
202606,02263,2263. 바우뫼문화복지회관,일일권,F,20대,10,823.47,7.43,31991.69,190
202606,00457,457. 종로꽃시장 입구 옆,일일권(비회원 3시간),,기타,1,165.38,1.49,6424.86,148
202606,05857,5857. U레지던스 앞,정기권,,50대,13,1575.86,14.19,61222.31,486
